"LAVADO","monto_transferencia","frecuencia_mensual","antiguedad_cliente","paises_destino","indice_riesgo_cliente","volumen_total_mes","canal_transaccion","tipo_cliente","jurisdiccion_riesgo","pep","alerta_manual","perfil_operacional"
"No_sospechoso",2378.98817577082,17,8,2,52.1328080881451,4808.97635154165,"Online","Persona","Baja","Si","No","Normal"
"No_sospechoso",1938.09351920942,16,10,3,63.8809085799108,3924.18703841884,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",3822.2879957211,16,5,4,65.7517762974453,7692.5759914422,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",13936.0775156753,17,8,3,57.1572560108566,27923.1550313507,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",7934.05000283928,16,7,1,57.5080335150792,15916.1000056786,"Sucursal","Empresa","Baja","No","No","Normal"
"No_sospechoso",1690.24407795942,16,5,1,40.8617442951905,3428.48815591883,"Online","Persona","Bja","No","No","Atipico"
"No_sospechoso",4534.68905864187,15,7,0,68.1871892721076,9114.37811728375,"Online","Persona","Bja","No","No","Volatil"
"No_sospechoso",5090.22768646866,15,4,0,46.9805308108035,10225.4553729373,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",5991.43572445123,18,11,2,63.6431970023033,12036.8714489025,"Internacional","Persona","Baja","No","No","Normal"
"No_sospechoso",4635.49865519559,20,4,0,54.4855100392053,9330.99731039119,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",8380.82536521322,17,6,1,54.226853614521,16812.6507304264,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",1811.04850277678,16,6,1,69.9414090294491,3670.09700555357,"Sucursal","Persona","Baja","No","No","Atipico"
"No_sospechoso",5651.78122165797,16,9,4,63.0103806144947,11351.5624433159,"Sucursal","Offshore","Baja","No","No","Normal"
"No_sospechoso",3013.40265924963,13,6,5,55.1223173754114,6065.80531849927,NA,"Persona","Baja","No","No","Normal"
"No_sospechoso",2753.77949323487,14,9,1,68.1174853292291,5549.55898646974,"Sucursal","Persona","Bja","No","No","Atipico"
"No_sospechoso",6587.74479775773,17,6,1,46.2952009770277,13226.4895955155,"Sucursal","Persona","Bja","No","No","Volatil"
"No_sospechoso",11647.1004808697,16,11,3,57.5929262074939,23342.2009617393,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",4538.56133499915,17,9,0,48.8637451898473,9128.1226699983,"Sucursal","Offshore","Bja","No","No","Normal"
"No_sospechoso",5578.35530143843,15,8,0,71.3636943545954,11201.7106028769,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",2878.32466204949,18,7,2,36.7324757674266,5810.64932409899,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",4184.41594000102,17,6,3,46.2166883927598,8419.83188000205,"Internacional","Empresa","Baja","No","No","Normal"
"No_sospechoso",1702.64976702877,15,6,1,66.5634725876026,3450.29953405753,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",4037.89870402068,13,10,2,63.1754181551981,8114.79740804137,"Online","Persona","Bja","No","No","Normal"
"No_sospechoso",8240.89208344831,15,7,3,76.8646096062214,16526.7841668966,"Online","Persona","Baja","No","No","Normal"
"No_sospechoso",7903.22171447281,18,8,2,65.2361559023198,15860.4434289456,"Sucursal","Persona","Baja","No","No","Normal"
"No_sospechoso",3402.40901255576,16,6,3,60.922479829814,6852.81802511151,"Sucursal","Persona","Bja","No","No","Normal"
"No_sospechoso",3945.48522727564,15,8,0,57.0113847128187,7935.97045455127,"Online","Persona","Baja","No","No","Atipico"
"No_sospechoso",1689.49809768635,14,2,1,56.5929220724279,3420.9961953727,"Sucursal","Persona","Alta","No","No","Atipico"
"No_sospechoso",1156.97364316789,14,6,6,65.5519575643821,2355.94728633578,NA,"Persona","Bja","No","No","Atipico"
